ResourceID,en-US,zh-TW,zh-CN,nl-NL,fr-FR,de-DE,it-IT,pl-PL,pt-BR,pt-PT,ru-RU,es-MX,es-ES,uk-UA,da-DK,cs-CZ,fi-FI,ja-JP,ko-KR,nb-NO,sv-SE,tr-TR,id-ID,th-TH,vi-VN
app_title,Reykjavik,,,,,,,,,,,,,,,,,,,,,,,,
app_subtitle,Skolavordustigur Street Travel Guide,,,,,,,,,,,,,,,,,,,,,,,,
app_hero_alt,"Photograph of Skolavordustigur Street, Reykjavik",,,,,,,,,,,,,,,,,,,,,,,,
app_bullet1a,Red,,,,,,,,,,,,,,,,,,,,,,,,
app_bullet1b,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,,,,,,,,,,,,,,,,,,,,,,,
app_bullet2a,Orange,,,,,,,,,,,,,,,,,,,,,,,,
app_bullet2b,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.",,,,,,,,,,,,,,,,,,,,,,,,
app_bullet3a,Yellow,,,,,,,,,,,,,,,,,,,,,,,,
app_bullet3b,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,,,,,,,,,,,,,,,,,,,
app_button,Get Started,,,,,,,,,,,,,,,,,,,,,,,,
titlebar_settings,Settings,設定,设置,Instellingen,Paramètres,Einstellungen,Impostazioni,Ustawienia,Configurações,Definições,Параметры,Configuración,Configuración,Налаштування,Indstillinger,Nastavení,Asetukset,設定,설정,Innstillinger,Inställningar,Ayarlar,Pengaturan,การตั้งค่า,Cài đặt
titlebar_minimize,Minimize,最小化,最小化,Minimaliseren,Réduire,Minimieren,Riduci a icona,Minimalizuj,Minimizar,Minimizar,Свернуть,Minimizar,Minimizar,Згорнути,Minimer,Minimalizovat,Pienennä,最小化,최소화,Minimer,Minimera,Simge Durumuna Küçült,Perkecil,ย่อ,Thu nhỏ
titlebar_maximize,Maximize,最大化,最大化,Maximaliseren,Agrandir,Maximieren,Ingrandisci,Maksymalizuj,Maximizar,Maximizar,Развернуть,Maximizar,Maximizar,Розгорнути,Maksimer,Maximalizovat,Suurenna,最大化,최대화,Maksimer,Maximera,Ekranı Kapla,Perbesar,ขยาย,Phóng to
